"","No","Yes","name","p_value"
"1",0.227870474187848,0.0251494940304277,"2011-2012",0.693220277056615
"2",0.225884733712368,0.0246896587818805,"2013-2014",0.693220277056615
"3",0.226673124312387,0.025812033872654,"2015-2016",0.693220277056615
"4",0.216923867053609,0.0269966140488259,"2017-2020",0.693220277056615
"5",0.555193520266378,0.0269229101872956,"18 to 44",1.21906133860488e-53
"6",0.264244438008188,0.0477715818707352,"45 to 64",1.21906133860488e-53
"7",0.0541489880525409,0.0154034446750325,"65 to 74",1.21906133860488e-53
"8",0.0237652529391055,0.0125498640007248,"75+",1.21906133860488e-53
"9",0.447246600213855,0.0610986743078414,"Men",1.86985420716534e-05
"10",0.450105599052357,0.0415491264259467,"Women",1.86985420716534e-05
"11",0.147899502333931,0.0134001013608397,"Hispanic",4.79225387060985e-05
"12",0.0481910606616774,0.00471962200827548,"Non-Hispanic Asian",4.79225387060985e-05
"13",0.0874486440302344,0.0146394359711127,"Non-Hispanic Black",4.79225387060985e-05
"14",0.583680899583635,0.0655605803672617,"Non-Hispanic White",4.79225387060985e-05
"15",0.0301320926567343,0.00432806102629853,"Other",4.79225387060985e-05
